recommended_date,symbol,action,horizon,entry,target,review_date,expiry_date,confidence,weight,status
2026-06-25,APOLLOHOSP,STRONG BUY,2 months (2M),8457.0,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,79,10.9,LIVE
2026-06-25,NTPC,STRONG BUY,2 months (2M),364.6,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,79,5.8,LIVE
2026-06-25,MARICO,STRONG BUY,2 months (2M),821.0,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,75,9.2,LIVE
2026-06-25,POWERGRID,STRONG BUY,2 months (2M),291.9,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,75,5.5,LIVE
2026-06-25,LUPIN,STRONG BUY,2 months (2M),2357.8,No analogues yet,2026-08-23,2026-06-30,72,11.0,LIVE
2026-06-25,BHARTIARTL,STRONG BUY,2 months (2M),1901.6,2139,2026-08-23,2026-06-30,86,10.2,LIVE
2026-06-25,ABBOTINDIA,STRONG BUY,2 months (2M),25570.0,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,72,11.3,LIVE
2026-06-25,ICICIBANK,BUY,2 months (2M),1338.3,1409,2026-08-23,2026-06-30,76,5.9,LIVE
2026-06-25,ICICIGI,BUY,2 months (2M),1833.7,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,70,7.1,LIVE
2026-06-25,RELIANCE,BUY,2 months (2M),1309.5,1366,2026-08-23,2026-06-30,73,7.7,LIVE
2026-06-25,BRITANNIA,WATCH,2 months (2M),5241.0,Insufficient evidence (<5 cases),2026-08-23,2026-06-30,66,10.0,LIVE
2026-06-25,SHREECEM,WATCH,2 months (2M),25035.0,23115,2026-08-23,2026-06-30,70,5.4,LIVE
2026-06-26,APOLLOHOSP,STRONG BUY,2 months (2M),8592.0,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,78,9.0,LIVE
2026-06-26,MARICO,STRONG BUY,2 months (2M),825.8,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,75,8.1,LIVE
2026-06-26,NTPC,STRONG BUY,2 months (2M),352.0,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,74,7.8,LIVE
2026-06-26,KOTAKBANK,STRONG BUY,2 months (2M),409.0,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,74,6.1,LIVE
2026-06-26,LUPIN,STRONG BUY,2 months (2M),2343.5,No analogues yet,2026-08-25,2026-07-02,71,12.2,LIVE
2026-06-26,BHARTIARTL,STRONG BUY,2 months (2M),1850.7,2081,2026-08-25,2026-07-02,85,7.1,LIVE
2026-06-26,ABBOTINDIA,STRONG BUY,2 months (2M),25585.0,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,72,11.6,LIVE
2026-06-26,POWERGRID,BUY,2 months (2M),283.9,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,71,6.5,LIVE
2026-06-26,ICICIGI,BUY,2 months (2M),1813.6,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,70,9.1,LIVE
2026-06-26,RELIANCE,ACCUMULATE,2 months (2M),1318.1,1375,2026-08-25,2026-07-02,72,8.4,LIVE
2026-06-26,BRITANNIA,WATCH,2 months (2M),5237.0,Insufficient evidence (<5 cases),2026-08-25,2026-07-02,66,7.0,LIVE
2026-06-26,SHREECEM,WATCH,2 months (2M),25735.0,23761,2026-08-25,2026-07-02,70,7.1,LIVE
